intersection_id_osm,latitude,longitude,nb_passages_pietons
205602558,48.8088094,2.1524398,1
205605085,48.8090241,2.1480333,2
205605088,48.8089633,2.1481113,0
205608435,48.8094491,2.1477427,1
205616795,48.8093643,2.1480172,0
205627345,48.8090191,2.1492134,2
205629265,48.8066782,2.1485338,3
205629540,48.8076752,2.1488423,0
205629542,48.8073925,2.1487628,0
205639630,48.809281,2.1537645,1
205639834,48.8091496,2.1531198,2
205641355,48.8108567,2.1526841,2
205641364,48.811567,2.151913,0
206123427,48.805834,2.1395443,3
206123429,48.805717,2.1410956,0
206124428,48.8053903,2.1373623,0
206124429,48.8051295,2.1374041,1
206128194,48.7982609,2.1363595,0
206128196,48.7997923,2.1375506,2
206128197,48.7997474,2.137786,4
206128201,48.799999,2.1380167,0
206128202,48.8001116,2.1380864,0
206128203,48.7980444,2.1376625,0
206128204,48.7979009,2.137644,0
206128207,48.8000389,2.137872,0
206128428,48.7983705,2.1364466,0
206129736,48.7965303,2.1413424,0
206129748,48.7966491,2.1429211,0
206129756,48.798416,2.1439218,0
206129759,48.7982133,2.1438054,2
206129784,48.7983517,2.1441644,0
206130429,48.7962578,2.1402348,2
206130442,48.7973737,2.1375948,2
206130445,48.7964858,2.1411617,2
206135870,48.7970121,2.1314699,3
206136945,48.797425,2.1286845,0
206136947,48.7981027,2.1270555,4
206136948,48.7986213,2.1253177,2
206142594,48.8047558,2.1237495,1
206143678,48.8052731,2.1308327,0
206156070,48.8075636,2.1284339,2
206156093,48.8085313,2.1292676,3
206156094,48.8092416,2.1293979,0
206156096,48.8090816,2.1313574,1
206156858,48.8091126,2.1252349,1
206156859,48.8096079,2.1256643,2
206156860,48.8056622,2.1231491,1
206158775,48.8139632,2.136058,1
206158786,48.8131072,2.1339397,2
206158804,48.8142361,2.134356,1
206160250,48.8132172,2.1330847,0
206160251,48.8125286,2.1329544,3
206160253,48.814394,2.1333709,1
206160255,48.8139921,2.1360637,1
206160256,48.8139074,2.136106,0
206160258,48.8136881,2.1363047,0
206160259,48.8136172,2.136486,0
206160271,48.813598,2.1366616,1
206160272,48.8136531,2.1360005,1
206160513,48.816776,2.1365516,4
206160514,48.8174999,2.1366855,2
206160520,48.8187328,2.1371735,3
206160523,48.8189154,2.1376951,0
206161025,48.8189449,2.1380667,1
206161032,48.8188933,2.1384759,0
206161038,48.8191005,2.1386295,1
206161041,48.8191618,2.1382835,2
206161043,48.8192063,2.138116,1
206161065,48.819135,2.1378564,2
206161066,48.8190505,2.1378768,0
206162655,48.81054,2.1369103,4
206162656,48.8103174,2.1389168,3
206162657,48.8101529,2.1402779,4
206162658,48.8098664,2.1428203,2
206162666,48.8110341,2.1369177,2
206162672,48.8116883,2.1371839,2
206162673,48.8118339,2.1352068,1
206162675,48.8112761,2.1348644,1
206162677,48.8115254,2.1391372,4
206162678,48.8114204,2.1405079,4
206163294,48.8133571,2.1395322,3
206163295,48.8121666,2.1392593,3
206163296,48.8124667,2.1355988,0
206163297,48.8091626,2.1401046,0
206163298,48.8093696,2.1401449,0
206163299,48.8126034,2.1407036,2
206163452,48.8201724,2.1419822,1
206217262,48.8235338,2.1396534,2
206217541,48.8234162,2.1395995,2
206217582,48.822092,2.138668,1
206218903,48.8228707,2.1391968,3
206218926,48.822755,2.140714,1
206218963,48.8226547,2.1408289,1
206219066,48.8228239,2.140843,1
206219067,48.8238953,2.14104,4
206219227,48.8227314,2.1409688,1
206222745,48.8088659,2.1511283,1
206225190,48.8097891,2.1483355,2
206254082,48.8113165,2.1427085,2
206254085,48.8096252,2.1453509,2
206254100,48.8138269,2.1409044,0
206254103,48.8153329,2.145158,2
206254136,48.8190666,2.1484607,0
206254142,48.8189831,2.1500938,1
206266197,48.8086821,2.1466338,2
206266235,48.8109965,2.1451901,1
206266240,48.8111293,2.1432876,1
206266251,48.8112439,2.1428267,0
206266262,48.8110485,2.1431217,2
206266283,48.8118782,2.1453513,0
206266306,48.810872,2.1454968,2
206266346,48.8122684,2.1446761,2
206269561,48.8118623,2.1433189,2
206269562,48.8110736,2.1440457,1
206269587,48.8125044,2.1412368,1
206269589,48.8124015,2.1410259,1
206273323,48.8150302,2.1362381,2
206273325,48.8147494,2.1396301,0
206273327,48.8139682,2.1409273,1
206273328,48.8136885,2.140883,2
206273332,48.8138896,2.1410969,1
206273333,48.8122818,2.1441948,2
206273340,48.8132842,2.1445296,1
206273363,48.8136836,2.1445819,0
206273367,48.8124216,2.1423759,2
206274069,48.8150113,2.1505566,1
206274540,48.8184955,2.1400528,2
206278272,48.8164612,2.145072,1
